,Team,Season Year,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15
0,MIA,2024,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Kevin Love,Duncan Robinson,Dru Smith,Jaime Jaquez Jr.,Thomas Bryant,Jamal Cain,,,,,
1,BOS,2024,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Al Horford,Oshae Brissett,Payton Pritchard,Sam Hauser,,,,,,
2,TOR,2024,Pascal Siakam,Scottie Barnes,Dennis Schröder,OG Anunoby,Jakob Poeltl,Gary Trent Jr.,Precious Achiuwa,Jalen McDaniels,Chris Boucher,Gradey Dick,Malachi Flynn,,,,
3,CHI,2024,DeMar DeRozan,Nikola Vučević,Coby White,Zach LaVine,Patrick Williams,Alex Caruso,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,,,,,
4,DET,2024,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Cade Cunningham,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
5,CHO,2024,Terry Rozier,Gordon Hayward,LaMelo Ball,P.J. Washington,Mark Williams,Brandon Miller,JT Thor,Nick Richards,Théo Maledon,,,,,,
6,OKC,2024,Luguentz Dort,Shai Gilgeous-Alexander,Jalen Williams,Chet Holmgren,Josh Giddey,Isaiah Joe,Cason Wallace,Aaron Wiggins,Ousmane Dieng,Vasilije Micić,,,,,
7,CLE,2024,Donovan Mitchell,Max Strus,Evan Mobley,Isaac Okoro,Dean Wade,Caris LeVert,Georges Niang,Damian Jones,Ty Jerome,,,,,,
8,BRK,2024,Spencer Dinwiddie,Mikal Bridges,Cam Thomas,Ben Simmons,Dorian Finney-Smith,Royce O'Neale,Lonnie Walker IV,Dennis Smith Jr.,Day'Ron Sharpe,,,,,,
9,DAL,2024,Luka Dončić,Kyrie Irving,Grant Williams,Dereck Lively II,Derrick Jones Jr.,Tim Hardaway Jr.,Josh Green,Maxi Kleber,Dwight Powell,Seth Curry,Dante Exum,,,,
10,DEN,2024,Nikola Jokić,Kentavious Caldwell-Pope,Jamal Murray,Aaron Gordon,Michael Porter Jr.,Reggie Jackson,Christian Braun,Peyton Watson,Zeke Nnaji,Julian Strawther,,,,,
11,MEM,2024,Xavier Tillman Sr.,Desmond Bane,Ziaire Williams,Marcus Smart,Jaren Jackson Jr.,John Konchar,Derrick Rose,Jake LaRavia,David Roddy,,,,,,
12,ORL,2024,Franz Wagner,Paolo Banchero,Jalen Suggs,Wendell Carter Jr.,Markelle Fultz,Cole Anthony,Moritz Wagner,Gary Harris,Joe Ingles,Jonathan Isaac,,,,,
13,POR,2024,Shaedon Sharpe,Jerami Grant,Deandre Ayton,Scoot Henderson,Matisse Thybulle,Malcolm Brogdon,Toumani Camara,Robert Williams,Jabari Walker,Skylar Mays,,,,,
14,GSW,2024,Stephen Curry,Chris Paul,Klay Thompson,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Moses Moody,Gary Payton II,Dario Šarić,Trayce Jackson-Davis,,,,,
15,SAC,2024,Keegan Murray,De'Aaron Fox,Domantas Sabonis,Harrison Barnes,Kevin Huerter,Chris Duarte,Malik Monk,Sasha Vezenkov,JaVale McGee,Davion Mitchell,,,,,
16,HOU,2024,Fred VanVleet,Alperen Sengun,Dillon Brooks,Jalen Green,Jabari Smith Jr.,Jeff Green,Jae'Sean Tate,Amen Thompson,Reggie Bullock,Boban Marjanović,,,,,
17,SAS,2024,Devin Vassell,Zach Collins,Keldon Johnson,Victor Wembanyama,Jeremy Sochan,Tre Jones,Cedi Osman,Doug McDermott,Malaki Branham,Charles Bassey,,,,,
18,LAC,2024,Paul George,Russell Westbrook,Kawhi Leonard,Robert Covington,Ivica Zubac,Nicolas Batum,Norman Powell,Bones Hyland,Mason Plumlee,,,,,,
19,UTA,2024,Lauri Markkanen,John Collins,Jordan Clarkson,Talen Horton-Tucker,Walker Kessler,Kelly Olynyk,Collin Sexton,Kris Dunn,Ochai Agbaji,Keyonte George,,,,,
20,IND,2024,Bruce Brown,Tyrese Haliburton,Myles Turner,Obi Toppin,Bennedict Mathurin,Aaron Nesmith,Andrew Nembhard,T.J. McConnell,Buddy Hield,Jalen Smith,,,,,
21,CLE,2024,Caris LeVert,Max Strus,Dean Wade,Isaac Okoro,Evan Mobley,Georges Niang,Tristan Thompson,Emoni Bates,Sam Merrill,Damian Jones,Craig Porter Jr.,,,,
22,CHI,2024,Zach LaVine,Nikola Vučević,DeMar DeRozan,Coby White,Patrick Williams,Torrey Craig,Alex Caruso,Ayo Dosunmu,Andre Drummond,Jevon Carter,Dalen Terry,Julian Phillips,Terry Taylor,,
23,DET,2024,Cade Cunningham,Isaiah Stewart,Jalen Duren,Ausar Thompson,Killian Hayes,Alec Burks,Jaden Ivey,Marvin Bagley III,Joe Harris,Marcus Sasser,,,,,
24,MIA,2024,Tyler Herro,Bam Adebayo,Kyle Lowry,Nikola Jović,Jaime Jaquez Jr.,Duncan Robinson,Jamal Cain,Dru Smith,Thomas Bryant,Orlando Robinson,Cole Swider,R.J. Hampton,,,
25,MIN,2024,Anthony Edwards,Karl-Anthony Towns,Rudy Gobert,Mike Conley,Nickeil Alexander-Walker,Naz Reid,Kyle Anderson,Shake Milton,Troy Brown Jr.,Jordan McLaughlin,Leonard Miller,Josh Minott,,,
26,NYK,2024,Julius Randle,Jalen Brunson,RJ Barrett,Mitchell Robinson,Quentin Grimes,Josh Hart,Donte DiVincenzo,Immanuel Quickley,Isaiah Hartenstein,Miles McBride,Jericho Sims,DaQuan Jeffries,Dylan Windler,,
27,NOP,2024,Brandon Ingram,CJ McCollum,Zion Williamson,Herbert Jones,Jonas Valančiūnas,Matt Ryan,Dyson Daniels,Jordan Hawkins,Larry Nance Jr.,Kira Lewis Jr.,Cody Zeller,E.J. Liddell,,,
28,UTA,2024,Lauri Markkanen,John Collins,Walker Kessler,Jordan Clarkson,Talen Horton-Tucker,Keyonte George,Collin Sexton,Kris Dunn,Simone Fontecchio,Kelly Olynyk,Ochai Agbaji,Luka Šamanić,Omer Yurtseven,,
29,PHO,2024,Grayson Allen,Kevin Durant,Eric Gordon,Josh Okogie,Jusuf Nurkić,Jordan Goodwin,Nassir Little,Yuta Watanabe,Drew Eubanks,Udoka Azubuike,Keita Bates-Diop,Saben Lee,Bol Bol,Chimezie Metu,
